DUMMY,DUMMY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,1,2.204141456,2.204141456,3.606168001,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0.141542746,0.141542746,0.042164152,0.042164152,0.045999435,0.045999435,0,0,0,0,0,0,0,0,0
1,3,0.852975488,0.852975488,0.692047714,0.692047714,0.786230846,0.786230846,0,0,0,0,0,0,0,0,0
1,4,2.890881936,2.890881936,3.284524383,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0.224951084,0.224951084,0.123124675,0.123124675,0.152938742,0.152938742,0,0,0,0,0,0,0,0,0
1,6,1.095592835,1.095592835,0.752045408,0.752045408,1.251738464,1.251738464,0,0,0,0,0,0,0,0,0
1,7,0.024240965,0.024240965,0.146312852,0.146312852,0.10101664,0.10101664,0.100363031,0,0,0,0,0,0,0,0
1,8,0.004725407,0.004725407,0.034549511,0.034549511,0.083010275,0.083010275,0.143892346,0,0,0,0,0,0,0,0
1,9,0.05874991,0.05874991,0.20204323,0.20204323,0.412415421,0.412415421,0.535612045,0,0,0,0,0,0,0,0
1,10,0.028630351,0.028630351,0.109585782,0.109585782,0.334231645,0.334231645,0.470328302,0.470328302,0,0,0,0,0,0,0
1,11,0.01881567,0.01881567,0.04782527,0.04782527,0.069463402,0.069463402,0.054001725,0,0,0,0,0,0,0,0
1,12,0.07092092,0.07092092,0.114803682,0.114803682,0.158815628,0.158815628,0.098285854,0,0,0,0,0,0,0,0
1,13,0.279574233,0.279574233,0.373929231,0.373929231,0.585705582,0.585705582,0.541244018,0,0,0,0,0,0,0,0
1,14,0.131910373,0.131910373,0.274752023,0.274752023,0.713752205,0.713752205,0.83832915,0.83832915,0,0,0,0,0,0,0
1,15,0.476843746,0.476843746,0.645600283,0.645600283,0.44408082,0,0,0,0,0,0,0,0,0,0
1,16,0.056983995,0.056983995,0.079427045,0.079427045,0.102851788,0.102851788,0.171427053,0.171427053,0,0,0,0,0,0,0
1,17,0.11666716,0.11666716,0.04767782,0.04767782,0.051304537,0.051304537,0.043363711,0.043363711,0,0,0,0,0,0,0
1,18,0.123574909,0.123574909,0.060142771,0.060142771,0.102140978,0.102140978,0.201214361,0.201214361,0,0,0,0,0,0,0
1,19,0.018654914,0.018654914,0.001731265,0.001731265,0.00376182,0.00376182,0.00796322,0.00796322,0,0,0,0,0,0,0
1,20,0.02844217,0.02844217,0.048618349,0.048618349,0.085026244,0.085026244,0.080786107,0,0,0,0,0,0,0,0
1,21,0.046211654,0.046211654,0.048524477,0.048524477,0.071895026,0.071895026,0.14248153,0,0,0,0,0,0,0,0
1,22,0.033723392,0.033723392,0.005148883,0.005148883,0.016138822,0.016138822,0.018839107,0,0,0,0,0,0,0,0
1,23,0.022475601,0.022475601,0.0439491,0.0439491,0.016547978,0,0,0,0,0,0,0,0,0,0
1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,25,0.000677027,0.000677027,0.001237587,0.001237587,0.001130955,0.001130955,0.001265929,0.001265929,0.000558363,0,0,0,0,0,0
1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
